;TOTAL;ANDALUCIA;BALEARS;CANARIES;CATALUNYA;COMUNITAT VALENCIANA;MADRID
1/1/00;1981949;288855;137781;828789;231524;170221;168090
1/2/00;2260826;356390;223253;833005;305927;199739;185017
1/3/00;3012281;500965;370031;956457;451997;270505;252081
1/4/00;4206767;780529;736225;891612;830173;391718;278003
1/5/00;4095338;609661;1231466;690825;708556;336849;254697
1/6/00;4637337;661327;1433563;692013;925173;428866;215479
1/7/00;6351156;837916;1645507;836059;1562876;672643;244525
1/8/00;5762420;860101;1505723;812536;1238121;536316;230205
1/9/00;5036948;749738;1486479;783694;1018024;451026;237451
1/10/00;4142325;615732;939990;916114;793408;341127;292063
1/11/00;2494391;380125;175887;921304;393000;214526;224315
1/12/00;2421190;350634;115718;860413;456760;222076;221527
1/1/01;2201838;305077;141019;875825;312346;199605;195108
1/2/01;2411357;351367;248604;868119;334515;223093;218365
1/3/01;3104861;484284;377231;1010995;464236;300618;256816
1/4/01;4230508;718589;680619;868545;976582;409785;268791
1/5/01;4375083;648329;1256931;706084;831515;380738;279824
1/6/01;4948190;715739;1469734;726407;998289;456221;271496
1/7/01;6635181;966463;1613199;848160;1581151;656161;336791
1/8/01;6491773;1156139;1560533;838912;1497405;506510;273682
1/9/01;5139723;804752;1490626;788156;1015717;447469;253979
1/10/01;4023913;655998;843286;912141;760667;363340;232783
1/11/01;2465390;389464;162707;894596;404550;210177;190260
1/12/01;2537527;395311;117459;871005;506366;234685;190041
1/1/02;2178691;344018;123437;822501;345988;187969;178948
1/2/02;2599398;412134;218856;878651;430753;234340;221762
1/3/02;3671074;592777;424554;1043074;718855;361433;245811
1/4/02;3655817;631991;488842;760690;863857;347894;232599
1/5/02;4482919;694820;1185521;678233;1005185;386461;233593
1/6/02;5021743;719916;1388801;691411;1126240;455505;271543
1/7/02;6694014;893148;1455545;818197;1807597;664996;307300
1/8/02;7344750;1084336;1591346;857487;2011787;690159;280365
1/9/02;5058634;808710;1319930;773884;1024773;458699;268618
1/10/02;4328167;705740;792845;907765;882571;412363;285889
1/11/02;2673690;396485;167296;931211;505720;248820;208870
1/12/02;2621728;402092;116843;884085;488401;253777;174719
1/1/03;2393246;386360;127639;885242;376710;229705;154705
1/2/03;2679125;424822;212820;877085;494444;242291;208963
1/3/03;3302468;550726;324701;1000532;656784;314113;193186
1/4/03;4207964;686473;605249;875509;1032288;419078;230825
1/5/03;4716094;784370;1203884;690971;1007725;442989;236501
1/6/03;5056196;759847;1367890;674413;1174365;425291;262169
1/7/03;6847249;931162;1467308;800868;1905694;688328;353869
1/8/03;6917438;1126494;1641514;826585;1679215;635712;280122
1/9/03;4994252;808719;1242529;728503;1039509;490761;261870
1/10/03;4351947;705303;826786;891116;874084;433202;300997
1/11/03;2658574;374877;173595;874013;522966;257912;229765
1/12/03;2729262;379581;135303;847401;610140;243917;231226
1/1/04;2554887;383070;140145;874541;454759;239203;214328
1/2/04;2948888;451791;226994;894669;634047;263151;239068
1/3/04;3279133;508632;313721;919290;726330;308687;236753
1/4/04;4182442;694063;562574;796462;1064082;416612;265352
1/5/04;4903627;753207;1204048;624222;1201221;447643;295656
1/6/04;4855562;728975;1306044;600484;1125817;441534;275928
1/7/04;6915294;952898;1594165;750781;1972630;624632;347520
1/8/04;6844849;1110680;1597937;776998;1748565;600843;294870
