;TOTAL;TURISTES;EXCURSIONISTES
1/1/00;3636990;1981949;1655041
1/2/00;3943756;2260826;1682929
1/3/00;4829247;3012281;1816967
1/4/00;6543069;4206767;2336303
1/5/00;6172366;4095338;2077029
1/6/00;6709694;4637337;2072357
1/7/00;9570079;6351156;3218923
1/8/00;10390632;5762420;4628212
1/9/00;7689176;5036948;2652228
1/10/00;6221520;4142325;2079196
1/11/00;4294388;2494391;1799997
1/12/00;4578631;2421190;2157441
1/1/01;3913049;2201838;1711211
1/2/01;4088084;2411357;1676727
1/3/01;4902095;3104861;1797234
1/4/01;6568109;4230508;2337601
1/5/01;6395155;4375083;2020071
1/6/01;6944046;4948190;1995857
1/7/01;9622871;6635181;2987689
1/8/01;10837053;6491773;4345280
1/9/01;7495370;5139723;2355647
1/10/01;5977474;4023913;1953561
1/11/01;4169045;2465390;1703655
1/12/01;4651218;2537527;2113690
1/1/02;3910848;2178691;1732158
1/2/02;4416137;2599398;1816739
1/3/02;5755457;3671074;2084383
1/4/02;5974028;3655817;2318212
1/5/02;6693403;4482919;2210484
1/6/02;7116235;5021743;2094492
1/7/02;9797440;6694014;3103426
1/8/02;12076085;7344750;4731335
1/9/02;7555208;5058634;2496574
1/10/02;6482625;4328167;2154459
1/11/02;4657194;2673690;1983504
1/12/02;4878666;2621728;2256938
1/1/03;4302351;2393246;1909105
1/2/03;4414853;2679125;1735728
1/3/03;5504991;3302468;2202523
1/4/03;6712748;4207964;2504784
1/5/03;7306858;4716094;2590764
1/6/03;7500685;5056196;2444490
1/7/03;10124423;6847249;3277174
1/8/03;11927063;6917438;5009624
1/9/03;7699987;4994252;2705735
1/10/03;6759400;4351947;2407454
1/11/03;4821151;2658574;2162577
1/12/03;5251640;2729262;2522378
1/1/04;4717713;2554887;2162826
1/2/04;5140922;2948888;2192034
1/3/04;5518973;3279133;2239840
1/4/04;6996441;4182442;2813998
1/5/04;7534923;4903627;2631296
1/6/04;7358997;4855562;2503435
1/7/04;10506950;6915294;3591656
1/8/04;11857706;6844849;5012858
1/9/04;8039857;5301203;2738654
1/10/04;7445660;4710414;2735246
1/11/04;5142715;2871639;2271076
1/12/04;5720468;3061894;2658574
1/1/05;4966831;2712863;2253968
1/2/05;5212047;2955391;2256656
1/3/05;6497405;3835168;2662237
1/4/05;6974533;4155338;2819195
1/5/05;8102134;5170770;2931364
1/6/05;8179314;5262955;2916359
1/7/05;11642687;7495663;4147025
1/8/05;12632862;7318761;5314101
1/9/05;9003534;5788786;3214748
1/10/05;7826872;4918458;2908414
1/11/05;5474017;3119567;2354450
1/12/05;6050936;3180058;2870879
1/1/06;5208185;2729475;2478710
1/2/06;5589795;3032159;2557636
1/3/06;6578261;3830261;2748000
1/4/06;8123048;4900226;3222822
1/5/06;8717288;5527699;3189589
1/6/06;8266307;5527126;2739181
1/7/06;11514708;7563719;3950989
1/8/06;12865867;7428402;5437465
1/9/06;9262207;6006950;3255256
1/10/06;8045305;5067722;2977583
1/11/06;5672831;3162697;2510135
1/12/06;6308407;3228025;3080382
1/1/07;5426810;2821632;2605178
1/2/07;5637735;3160312;2477423
1/3/07;6992793;4068344;2924449
1/4/07;8026358;4686834;3339525
1/5/07;8414112;5395227;3018885
1/6/07;8858161;5745181;3112980
1/7/07;12058848;7633521;4425327
1/8/07;13495651;7561898;5933753
1/9/07;9617843;6035341;3582502
1/10/07;8145375;5023913;3121462
1/11/07;5956512;3304307;2652206
1/12/07;6276428;3228994;3047434
1/1/08;5470033;2879846;2590187
1/2/08;5968179;3360500;2607679
1/3/08;7454434;4333369;3121065
1/4/08;7805326;4583335;3221992
1/5/08;9228246;5649384;3578863
1/6/08;8990265;5779578;3210686
1/7/08;11527283;7066558;4460725
1/8/08;13441213;7336705;6104508
1/9/08;9005886;5682501;3323385
1/10/08;7668812;4777731;2891081
1/11/08;5484108;2927417;2556691
1/12/08;5626006;2815090;2810916
1/1/09;5157370;2517980;2639390
1/2/09;5279683;2833450;2446233
1/3/09;6160687;3434132;2726555
1/4/09;7588119;4511701;3076418
1/5/09;8217241;4988169;3229072
1/6/09;8161628;5203390;2958238
1/7/09;11195956;6678047;4517909
1/8/09;12857148;6723277;6133872
1/9/09;8325056;5133169;3191886
1/10/09;7803085;4607406;3195679
1/11/09;5477821;2837367;2640454
1/12/09;5675403;2709553;2965850
1/1/10;5291314;2542841;2748473
1/2/10;5263801;2723363;2540438
1/3/10;6658639;3543400;3115239
1/4/10;7179332;3910779;3268553
1/5/10;8115122;5045676;3069446
1/6/10;8526007;5289108;3236899
1/7/10;11531420;6981417;4550003
1/8/10;13201034;6985291;6215743
1/9/10;8994839;5351470;3643369
1/10/10;8086097;4806009;3280087
1/11/10;5498174;2911187;2586987
1/12/10;5398398;2586430;2811968
1/1/11;5598890;2655823;2943068
1/2/11;5525946;2784271;2741675
1/3/11;6620174;3510049;3110126
1/4/11;8152499;4612689;3539810
1/5/11;8499116;5134990;3364125
1/6/11;9418589;5734891;3683698
1/7/11;12233212;7385628;4847583
1/8/11;13778166;7489515;6288651
1/9/11;9707072;5934029;3773043
1/10/11;8605168;5257086;3348082
1/11/11;5568742;3004607;2564135
1/12/11;5479565;2673306;2806258
1/1/12;5526719;2811021;2715698
1/2/12;5357807;2797620;2560187
1/3/12;6551836;3592387;2959449
1/4/12;7673314;4495693;3177620
1/5/12;8486474;5385212;3101261
1/6/12;9184733;5996190;3188543
1/7/12;12256970;7654573;4602396
1/8/12;13950584;7749332;6201252
1/9/12;9977988;6202106;3775882
1/10/12;8239591;5123303;3116288
1/11/12;5509467;3020767;2488700
1/12/12;5412598;2636291;2776306
1/1/13;5286152;2724784;2561368
1/2/13;5265637;2802652;2462985
1/3/13;7111499;3873907;3237592
1/4/13;7964817;4646791;3318026
1/5/13;9306253;5766897;3539356
1/6/13;9650910;6299188;3351722
1/7/13;12539970;7836182;4703788
1/8/13;14665041;8335569;6329472
1/9/13;10497116;6497953;3999163
1/10/13;8893232;5466491;3426741
1/11/13;6048437;3333234;2715204
1/12/13;6001746;3091842;2909904
1/1/14;5641717;3060796;2580921
1/2/14;5691224;3116389;2574834
1/3/14;6935858;3896455;3039404
1/4/14;8794449;5262231;3532218
1/5/14;9449600;6090622;3358978
1/6/14;9983965;6580918;3403047
1/7/14;12799695;8264111;4535584
1/8/14;15251665;9080826;6170839
1/9/14;10826184;7009227;3816958
1/10/14;9331015;5891156;3439859
1/11/14;6248463;3424912;2823551
1/12/14;6190640;3261302;2929338
1/1/15;5788698;3171755;2616943
1/2/15;5804852;3283003;2521849
1/3/15;7047851;4152918;2894933
1/4/15;8789579;5403220;3386358
1/5/15;9943820;6509512;3434308
1/6/15;10112779;6680003;3432776
1/7/15;13352295;8801648;4550647
1/8/15;15410082;9266797;6143285
1/9/15;10820544;7184760;3635783
1/10/15;9940966;6432341;3508624
1/11/15;6429628;3754802;2674826
1/12/15;6417639;3512914;2904724
1/1/16;6133318;3526537;2606782
1/2/16;6254862;3678726;2576136
1/3/16;7684502;4627206;3057296
1/4/16;9254452;6086327;3168124
1/5/16;10409297;7111154;3298143
1/6/16;10882964;7552758;3330206
1/7/16;14103246;9545792;4557454
1/8/16;15765727;10027471;5738256
1/9/16;11331574;7932607;3398967
1/10/16;10238948;7137723;3101225
1/11/16;6623135;4098262;2524873
1/12/16;6879053;3990446;2888607
1/1/17;6200774;3905736;2295038
1/2/17;6600345;4119137;2481208
1/3/17;7552469;4913943;2638526
1/4/17;10660952;7081594;3579358
1/5/17;11438274;8002648;3435625
1/6/17;11485278;8431975;3053304
1/7/17;15121496;10493438;4628058
1/8/17;15835528;10397745;5437784
1/9/17;12374962;8877270;3497692
1/10/17;10535814;7269931;3265883
1/11/17;6973620;4392575;2581046
1/12/17;6937773;3982530;2955243
1/1/18;6489874;4106601;2383273
1/2/18;6615762;4218047;2397715
1/3/18;8326310;5393186;2933123
1/4/18;10301539;6780378;3521161
1/5/18;11624018;8086048;3537970
1/6/18;11780733;8554306;3226426
1/7/18;14766107;10020246;4745861
1/8/18;16121776;10175761;5946015
1/9/18;12803621;8932308;3871312
1/10/18;11153466;7649860;3503605
1/11/18;7241009;4536873;2704136
1/12/18;7231453;4354798;2876655
1/1/19;6782568;4196939;2585629
1/2/19;6972244;4380126;2592118
1/3/19;8626912;5645747;2981165
1/4/19;10759139;7169675;3589464
1/5/19;11289498;7952788;3336709
1/6/19;12230598;8828499;3402100
1/7/19;14558858;9887047;4671811
1/8/19;16043994;10121985;5922008
1/9/19;12773287;8914761;3858526
1/10/19;11084163;7624486;3459677
1/11/19;7589213;4664345;2924868
1/12/19;7355018;4314612;3040406
