;TOTAL;AEROPUERTO;CARRETERA;PUERTO;TREN
1/1/00;1981949;1623389;297817;45691;15052
1/2/00;2260826;1853626;344406;49754;13041
1/3/00;3012281;2403851;522772;68578;17080
1/4/00;4206767;2987180;1095476;100356;23754
1/5/00;4095338;3303704;658800;108984;23849
1/6/00;4637337;3524595;973132;113878;25733
1/7/00;6351156;3993793;2218324;103186;35853
1/8/00;5762420;3797228;1709286;221231;34674
1/9/00;5036948;3843289;1047390;119401;26868
1/10/00;4142325;3229089;812764;79364;21108
1/11/00;2494391;2009139;431708;39238;14305
1/12/00;2421190;1811047;557530;33683;18930
1/1/01;2201838;1783105;370281;35565;12887
1/2/01;2411357;1991475;373330;34532;12021
1/3/01;3104861;2543782;485559;58700;16820
1/4/01;4230508;2945097;1181493;78959;24959
1/5/01;4375083;3475461;765718;113584;20320
1/6/01;4948190;3754377;1075140;96144;22529
1/7/01;6635181;4131137;2352576;122838;28630
1/8/01;6491773;3989500;2129466;343110;29697
1/9/01;5139723;3901325;1052250;164235;21913
1/10/01;4023913;3064557;835781;106415;17160
1/11/01;2465390;1937219;461000;52868;14302
1/12/01;2537527;1814057;656017;49290;18164
1/1/02;2178691;1718628;383936;55634;20493
1/2/02;2599398;1999595;544286;36144;19374
1/3/02;3671074;2701240;891929;56244;21660
1/4/02;3655817;2512147;1042556;76818;24295
1/5/02;4482919;3370810;994555;93866;23688
1/6/02;5021743;3665969;1251976;80198;23600
1/7/02;6694014;3962965;2586064;117027;27958
1/8/02;7344750;4090216;2900426;321971;32138
1/9/02;5058634;3734018;1142538;156295;25783
1/10/02;4328167;3248400;937234;117126;25406
1/11/02;2673690;2078878;520848;54636;19328
1/12/02;2621728;1863688;676044;59469;22527
1/1/03;2393246;1927877;388306;57791;19272
1/2/03;2679125;2112925;495453;53966;16781
1/3/03;3302468;2564005;649506;70180;18776
1/4/03;4207964;2998985;1099454;83065;26461
1/5/03;4716094;3634053;953754;103287;25000
1/6/03;5056196;3773110;1161238;97133;24715
1/7/03;6847249;4178363;2472090;161312;35484
1/8/03;6917438;4425055;2042238;414746;35399
1/9/03;4994252;3776667;960585;229451;27549
1/10/03;4351947;3384321;794168;149580;23877
1/11/03;2658574;2117930;476342;48110;16192
1/12/03;2729262;2029594;624870;52755;22042
1/1/04;2554887;2059028;425853;51956;18050
1/2/04;2948888;2337759;551669;42269;17191
1/3/04;3279133;2635303;577679;47673;18478
1/4/04;4182442;2988187;1077934;90207;26114
1/5/04;4903627;3676040;1083572;119990;24025
1/6/04;4855562;3712316;1000006;114481;28759
1/7/04;6915294;4474863;2219455;183613;37363
1/8/04;6844849;4445829;1967691;394784;36545
1/9/04;5301203;4000780;1042444;229496;28483
1/10/04;4710414;3625153;914922;146288;24051
1/11/04;2871639;2304782;495815;54361;16681
1/12/04;3061894;2263846;739964;36038;22046
1/1/05;2712863;2182299;440855;72452;17256
1/2/05;2955391;2340495;533189;65573;16134
1/3/05;3835168;2972833;746881;92895;22558
1/4/05;4155338;2929563;1085005;116030;24741
1/5/05;5170770;3906721;1106720;132485;24844
1/6/05;5262955;4000441;1108342;126465;27708
1/7/05;7495663;4826303;2435041;196478;37841
1/8/05;7318761;4592717;2218384;470877;36783
1/9/05;5788786;4333666;1180970;247894;26256
1/10/05;4918458;3801811;974269;120171;22207
1/11/05;3119567;2499802;531561;73939;14265
1/12/05;3180058;2343179;760244;57095;19540
1/1/06;2729475;2177854;463949;71796;15875
1/2/06;3032159;2339828;625988;52349;13994
1/3/06;3830261;2986992;753375;72431;17463
1/4/06;4900226;3460524;1303541;110575;25586
1/5/06;5527699;4155538;1238157;108198;25806
1/6/06;5527126;4310148;1069565;117188;30226
1/7/06;7563719;4947494;2436191;141822;38212
1/8/06;7428402;4732409;2294880;363219;37894
1/9/06;6006950;4492621;1300414;186762;27154
1/10/06;5067722;3944672;993838;106699;22514
1/11/06;3162697;2511840;564849;74484;11524
1/12/06;3228025;2385372;773910;54372;14370
1/1/07;2821632;2214223;509669;85676;12064
1/2/07;3160312;2490030;609379;50541;10362
1/3/07;4068344;3233696;745629;79108;9911
1/4/07;4686834;3458710;1103517;110110;14496
1/5/07;5395227;4189212;1081616;110944;13455
1/6/07;5745181;4539488;1081433;110193;14067
1/7/07;7633521;5196061;2274130;144816;18514
1/8/07;7561898;5076126;2124298;342794;18681
1/9/07;6035341;4713850;1128839;179248;13404
1/10/07;5023913;4062174;838123;114758;8858
1/11/07;3304307;2685287;543513;70505;5002
1/12/07;3228994;2465160;698822;57560;7452
1/1/08;2879846;2356050;426968;89302;7526
1/2/08;3360500;2736353;568715;48141;7291
1/3/08;4333369;3400494;834118;87128;11629
1/4/08;4583335;3465808;1007787;98135;11604
1/5/08;5649384;4424460;1092533;117768;14623
1/6/08;5779578;4521647;1131094;113046;13791
1/7/08;7066558;5135574;1774729;138614;17642
1/8/08;7336705;5231588;1722936;363563;18618
1/9/08;5682501;4628441;880538;160401;13120
1/10/08;4777731;3913395;742459;113217;8660
1/11/08;2927417;2370537;481588;67303;7989
1/12/08;2815090;2212548;536462;55559;10522
1/1/09;2517980;2035755;391018;83218;7989
1/2/09;2833450;2259652;513638;53081;7079
1/3/09;3434132;2674692;674199;76319;8922
1/4/09;4511701;3419975;970954;107507;13265
1/5/09;4988169;3920878;945824;108893;12573
1/6/09;5203390;4091834;990413;108835;12309
1/7/09;6678047;4867352;1651732;141936;17027
1/8/09;6723277;4729346;1645264;329801;18865
1/9/09;5133169;4095319;870240;154729;12880
1/10/09;4607406;3736903;749069;111167;10267
1/11/09;2837367;2283255;483374;63530;7208
1/12/09;2709553;2117701;521630;59262;10960
1/1/10;2542841;2075808;372672;85907;8454
1/2/10;2723363;2165620;498798;51505;7441
1/3/10;3543400;2763886;687670;81175;10669
1/4/10;3910779;2834190;955370;105773;15445
1/5/10;5045676;3943555;971536;114328;16258
1/6/10;5289108;4197880;965833;108910;16485
1/7/10;6981417;5072698;1740099;145160;23460
1/8/10;6985291;4944929;1684730;335233;20399
1/9/10;5351470;4314637;857386;161865;17582
1/10/10;4806009;3916187;757049;118678;14096
1/11/10;2911187;2342739;487616;71079;9752
1/12/10;2586430;1986787;525913;61910;11820
1/1/11;2655823;2185152;379873;81419;9379
1/2/11;2784271;2277665;454566;46849;5191
1/3/11;3510049;2779821;633299;88271;8656
1/4/11;4612689;3639959;830263;128761;13706
1/5/11;5134990;4171644;820441;130664;12242
1/6/11;5734891;4631131;956253;132831;14676
1/7/11;7385628;5595207;1593622;177688;19111
1/8/11;7489515;5571610;1707602;191488;18816
1/9/11;5934029;4826859;910694;183454;13022
1/10/11;5257086;4315378;814266;116776;10666
1/11/11;3004607;2456595;463362;78558;6092
1/12/11;2673306;2162563;442420;59551;8772
1/1/12;2811021;2313152;431141;59914;6814
1/2/12;2797620;2311074;433910;46511;6124
1/3/12;3592387;2928421;592329;63554;8083
1/4/12;4495693;3598662;792475;92458;12098
1/5/12;5385212;4452375;824055;97610;11172
1/6/12;5996190;5024634;868916;90402;12237
1/7/12;7654573;5924409;1589115;121933;19116
1/8/12;7749332;5724376;1853177;153124;18654
1/9/12;6202106;5089276;943988;157054;11788
1/10/12;5123303;4228811;797857;87290;9346
1/11/12;3020767;2489610;457450;67674;6032
1/12/12;2636291;2074628;514257;40977;6431
1/1/13;2724784;2235334;442213;42303;4934
1/2/13;2802652;2312572;453255;32185;4639
1/3/13;3873907;3119835;687741;59152;7178
1/4/13;4646791;3789990;768240;78618;9943
1/5/13;5766897;4816886;864616;74823;10572
1/6/13;6299188;5326990;884487;76263;11447
1/7/13;7836182;6057770;1684296;77658;16457
1/8/13;8335569;6092613;2042264;183701;16992
1/9/13;6497953;5356936;998995;132170;9852
1/10/13;5466491;4512977;879497;67198;6818
1/11/13;3333234;2711628;568597;48461;4549
1/12/13;3091842;2429390;614947;35071;12434
1/1/14;3060796;2510460;499482;37120;13734
1/2/14;3116389;2586709;487286;28836;13559
1/3/14;3896455;3144225;689630;47636;14963
1/4/14;5262231;4302978;860708;77057;21487
1/5/14;6090622;5116290;882794;67628;23910
1/6/14;6580918;5507752;979814;69938;23415
1/7/14;8264111;6241357;1905662;67091;50001
1/8/14;9080826;6596964;2232838;194544;56479
1/9/14;7009227;5737994;1133975;110862;26395
1/10/14;5891156;4802907;990486;73706;24057
1/11/14;3424912;2742094;619512;47665;15642
1/12/14;3261302;2532925;670906;36901;20569
1/1/15;3171755;2597144;518044;39394;17173
1/2/15;3283003;2725727;511488;30304;15485
1/3/15;4152918;3388113;701219;46680;16905
1/4/15;5403220;4396507;906511;73120;27083
1/5/15;6509512;5359082;1051609;71892;26929
1/6/15;6680003;5589851;983146;76249;30757
1/7/15;8801648;6674934;1981102;85934;59677
1/8/15;9266797;6713103;2259682;233360;60652
1/9/15;7184760;5845757;1175947;137023;26033
1/10/15;6432341;5258595;1020815;124066;28865
1/11/15;3754802;2986249;660763;90791;16999
1/12/15;3512914;2743379;695920;57310;16305
1/1/16;3526537;2890796;518157;99345;18239
1/2/16;3678726;3032297;564944;62670;18815
1/3/16;4627206;3830041;723121;53366;20678
1/4/16;6086327;4916305;1038841;107679;23502
1/5/16;7111154;5908515;1071878;101344;29417
1/6/16;7552758;6474250;976612;65160;36735
1/7/16;9545792;7367412;1985051;133151;60177
1/8/16;10027471;7006895;2515791;450141;54644
1/9/16;7932607;6429583;1226624;246052;30348
1/10/16;7137723;5956999;1003931;148322;28470
1/11/16;4098262;3327263;648797;103496;18706
1/12/16;3990446;3203298;699328;64702;23118
1/1/17;3905736;3297683;467692;121081;19280
1/2/17;4119137;3465299;567120;69766;16953
1/3/17;4913943;4131246;697929;65899;18869
1/4/17;7081594;5736662;1156255;156058;32619
1/5/17;8002648;6612080;1158444;204673;27451
1/6/17;8431975;7218211;1099566;75632;38565
1/7/17;10493438;8254720;2020226;155381;63111
1/8/17;10397745;7656724;2328730;353136;59154
1/9/17;8877270;7309013;1160522;373071;34664
1/10/17;7269931;6138213;947653;155212;28852
1/11/17;4392575;3574257;635965;164013;18340
1/12/17;3982530;3245405;649569;71752;15804
1/1/18;4106601;3473907;537605;83531;11558
1/2/18;4218047;3522739;621236;57488;16585
1/3/18;5393186;4517488;793717;62503;19478
1/4/18;6780378;5477794;1142056;138466;22062
1/5/18;8086048;6680662;1202964;176119;26302
1/6/18;8554306;7273549;1095994;154514;30249
1/7/18;10020246;7978433;1749246;231960;60606
1/8/18;10175761;7432979;2350904;336225;55653
1/9/18;8932308;7293549;1226047;380812;31901
1/10/18;7649860;6462383;933850;226979;26648
1/11/18;4536873;3815867;599418;102675;18914
1/12/18;4354798;3616324;659373;60816;18285
1/1/19;4196939;3550079;540312;92700;13848
1/2/19;4380126;3656596;662946;44531;16052
1/3/19;5645747;4730374;807442;88083;19849
1/4/19;7169675;5874777;1107708;157584;29606
1/5/19;7952788;6751726;1023694;149884;27485
1/6/19;8828499;7534301;1127354;128254;38590
1/7/19;9887047;7890741;1767289;170012;59006
1/8/19;10121985;7517411;2224251;322481;57842
1/9/19;8914761;7338524;1184075;357890;34272
1/10/19;7624486;6444535;950493;203324;26134
1/11/19;4664345;3901972;630650;121655;10068
1/12/19;4314612;3498424;731557;70363;14268
1/1/20;4138371;3442819;578088;103855;13610
